crop_name,adm_id,crop_area,crop_area_percentage
maize,CN061,7200.2,3.499
maize,CN031,76.2,1.286
maize,CN050,291.4,0.359
maize,CN033,310.0,0.309
maize,CN036,738.1,0.443
maize,CN053,4378.2,1.146
maize,CN037,17814.2,11.638
maize,CN021,33675.4,23.442
maize,CN054,1.5,0.0
maize,CN062,5532.6,1.366
maize,CN081,0.0,0.001
maize,CN063,39.4,0.005
maize,CN011,413.9,2.538
maize,CN082,0.0,0.0
maize,CN015,51760.8,4.5
maize,CN042,6376.0,3.423
maize,CN034,5579.9,3.968
maize,CN052,861.2,0.491
maize,CN064,3931.0,7.803
maize,CN032,5182.0,5.184
maize,CN065,11316.9,0.703
maize,CN014,18996.4,12.102
maize,CN043,988.6,0.468
maize,CN051,3191.0,0.662
maize,CN045,912.6,0.389
maize,CN022,53306.3,27.983
maize,CN071,21.8,0.061
maize,CN013,18105.1,9.712
maize,CN012,664.4,5.723
maize,CN044,222.8,0.128
maize,CN035,88.4,0.073
maize,CN023,84859.8,18.921
maize,CN041,17630.9,10.689
maize,CN046,18.4,0.055
