crop_name,adm_id,latitude,longitude,region_area
maize,CN061,35.51599,108.91826,205778
maize,CN031,31.35196,121.32917,5922
maize,CN050,30.08818,107.15654,81262
maize,CN033,29.96622,120.56623,100271
maize,CN036,28.50526,116.10203,166470
maize,CN053,25.37657,102.70237,382201
maize,CN037,36.06283,117.33107,153070
maize,CN021,41.76844,122.45511,143654
maize,CN054,29.06864,94.18759,1130219
maize,CN062,37.44654,103.23249,405092
maize,CN081,22.5,114.03333,890
maize,CN063,36.31293,101.88022,718234
maize,CN011,40.31438,116.3921,16306
maize,CN015,44.33665,119.19056,1150148
maize,CN042,31.12708,112.69565,186259
maize,CN034,32.73343,117.2782,140627
maize,CN052,26.66647,105.36858,175471
maize,CN064,37.79411,106.11954,50380
maize,CN032,33.46304,118.88659,99966
maize,CN065,44.50834,83.5631,1609085
maize,CN014,37.73977,112.59652,156963
maize,CN043,28.62247,112.18502,211390
maize,CN051,30.53906,104.48861,482220
maize,CN045,23.32958,108.31831,234405
maize,CN022,44.07337,125.30005,190494
maize,CN071,23.79438,120.54784,35655
maize,CN013,39.03579,116.01839,186413
maize,CN012,39.53745,117.20701,11609
maize,CN044,22.60026,111.85614,174750
maize,CN035,26.18995,117.85278,120706
maize,CN023,46.80499,127.70629,448496
maize,CN041,34.07072,114.02599,164948
maize,CN046,19.63612,109.69749,33701
