crop_name,adm_id,awc,bulk_density,drainage_class
maize,CN061,12.801,1.465,5
maize,CN031,12.706,1.42,5
maize,CN050,12.526,1.429,5
maize,CN033,12.565,1.447,5
maize,CN036,11.508,1.358,5
maize,CN053,12.971,1.41,4
maize,CN037,14.446,1.493,4
maize,CN021,14.162,1.52,5
maize,CN054,13.005,1.461,5
maize,CN062,12.84,1.465,5
maize,CN081,13.649,1.505,5
maize,CN063,13.39,1.445,5
maize,CN011,14.819,1.511,5
maize,CN015,13.312,1.479,5
maize,CN042,13.08,1.433,5
maize,CN034,13.843,1.492,4
maize,CN052,13.061,1.533,5
maize,CN064,12.016,1.441,5
maize,CN032,13.994,1.439,4
maize,CN065,13.176,1.431,5
maize,CN014,14.597,1.473,5
maize,CN043,12.106,1.391,5
maize,CN051,12.899,1.434,5
maize,CN045,12.411,1.496,5
maize,CN022,13.895,1.483,5
maize,CN071,11.575,1.403,5
maize,CN013,14.781,1.481,5
maize,CN012,14.794,1.439,4
maize,CN044,11.814,1.393,5
maize,CN035,11.511,1.369,5
maize,CN023,14.269,1.486,5
maize,CN041,14.925,1.468,4
maize,CN046,11.719,1.364,5
