crop_name,adm_id,sos,eos
wheat,CN061,31.88,165.8
wheat,CN031,15.519,164.874
wheat,CN050,13.257,173.607
wheat,CN033,15.28,167.204
wheat,CN036,25.001,166.002
wheat,CN053,13.958,162.746
wheat,CN037,29.065,151.433
wheat,CN021,31.662,152.88
wheat,CN054,28.626,177.985
wheat,CN062,29.873,178.931
wheat,CN063,30.296,182.297
wheat,CN011,30.775,138.809
wheat,CN015,29.527,185.787
wheat,CN042,17.319,161.459
wheat,CN034,21.095,160.692
wheat,CN052,16.615,172.606
wheat,CN064,26.559,163.747
wheat,CN032,24.5,161.913
wheat,CN065,32.598,190.342
wheat,CN014,33.879,161.275
wheat,CN043,22.306,165.52
wheat,CN051,15.822,165.473
wheat,CN045,18.728,163.011
wheat,CN022,30.507,145.543
wheat,CN071,12.869,165.34
wheat,CN013,27.297,141.889
wheat,CN012,30.808,138.471
wheat,CN044,19.494,161.375
wheat,CN035,21.689,166.69
wheat,CN023,33.599,160.176
wheat,CN041,25.792,158.392
wheat,CN046,26.68,175.319
