crop_name,adm_id,crop_area,crop_area_percentage
wheat,CN061,6543.1,3.18
wheat,CN031,86.3,1.457
wheat,CN050,35.9,0.044
wheat,CN033,559.7,0.558
wheat,CN036,1318.5,0.792
wheat,CN053,85.4,0.022
wheat,CN037,31165.2,20.36
wheat,CN021,24.9,0.017
wheat,CN054,59.9,0.005
wheat,CN062,1595.3,0.394
wheat,CN081,0.0,0.0
wheat,CN063,395.3,0.055
wheat,CN011,45.9,0.282
wheat,CN082,0.0,0.0
wheat,CN015,3367.0,0.293
wheat,CN042,7247.4,3.891
wheat,CN034,31276.4,22.241
wheat,CN052,137.8,0.079
wheat,CN064,200.3,0.398
wheat,CN032,25677.8,25.686
wheat,CN065,9091.2,0.565
wheat,CN014,2836.0,1.807
wheat,CN043,1173.6,0.555
wheat,CN051,1512.1,0.314
wheat,CN045,16.9,0.007
wheat,CN022,289.7,0.152
wheat,CN071,15.4,0.043
wheat,CN013,15431.6,8.278
wheat,CN012,374.0,3.222
wheat,CN044,20.1,0.011
wheat,CN035,81.6,0.068
wheat,CN023,1096.9,0.245
wheat,CN041,51392.6,31.157
wheat,CN046,84.0,0.249
