crop_name,adm_id,awc,bulk_density,drainage_class
wheat,CN061,12.896,1.45,5
wheat,CN031,14.029,1.419,3
wheat,CN050,12.851,1.452,5
wheat,CN033,12.587,1.462,5
wheat,CN036,13.947,1.402,5
wheat,CN053,12.464,1.399,5
wheat,CN037,14.641,1.46,4
wheat,CN021,13.009,1.479,5
wheat,CN054,12.823,1.363,6
wheat,CN062,12.992,1.461,5
wheat,CN063,12.698,1.479,5
wheat,CN011,14.709,1.469,4
wheat,CN015,13.081,1.47,5
wheat,CN042,14.016,1.425,5
wheat,CN034,14.761,1.5,4
wheat,CN052,12.588,1.486,5
wheat,CN064,12.107,1.439,5
wheat,CN032,14.1,1.443,4
wheat,CN065,13.211,1.422,5
wheat,CN014,14.675,1.488,5
wheat,CN043,13.339,1.383,4
wheat,CN051,12.755,1.438,5
wheat,CN045,11.939,1.413,5
wheat,CN022,13.559,1.442,5
wheat,CN071,11.685,1.429,5
wheat,CN013,14.81,1.464,4
wheat,CN012,14.778,1.438,4
wheat,CN044,11.875,1.378,5
wheat,CN035,11.467,1.349,4
wheat,CN023,14.284,1.461,5
wheat,CN041,15.08,1.472,4
wheat,CN046,11.869,1.37,5
